Handle,Title,,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
metal-gear-survive-xbox-one,Metal Gear Survive - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,6149304,91,shopify,1,deny,manual,19.99,29.99,true,true,83717302384,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6149304_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533335262,1,,false,,,,,,,,,,,,,,,,,lb,,
diablo-iii-eternal-collection-xbox-one,Diablo III: Eternal Collection - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,6259338,91,shopify,1,deny,manual,19.99,39.99,true,true,47875882188,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6259338_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533335021,1,,false,,,,,,,,,,,,,,,,,lb,,
bloodborne-playstationr-hits-playstation-4,Bloodborne - PlayStation® Hits - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,7314019,91,shopify,1,deny,manual,19.99,,true,true,711719053156,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/7314019_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533334449,1,,false,,,,,,,,,,,,,,,,,lb,,
sony-playstation-4-pro-console-jet-black,Sony - PlayStation 4 Pro Console - Jet Black,,The Underground Games,console,,true,Title,Default Title,,,,,5388900,5488,shopify,0,deny,manual,399.99,,true,true,,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5388900_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533333639,1,,false,,,,,,,,,,,,,,,,,lb,,
microsoft-xbox-one-x-1tb-console-with-4k-ultra-blu-ray-black,Microsoft - Xbox One X 1TB Console with 4K Ultra Blu-ray - Black,,The Underground Games,console,,true,Title,Default Title,,,,,5919707,4853,shopify,1,deny,manual,399.99,499.99,true,true,889842208252,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5919707_sd.jpg?v=1533324559,1,,false,,,,,,,,,,,,,,,,,lb,,
nintendo-switch-32gb-console-gray-joy-con,Nintendo - Switch 32GB Console - Gray Joy-Con,,The Underground Games,console,,true,Title,Default Title,,,,,5670003,1588,shopify,1,deny,manual,299.99,,true,true,45496590086,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5670003_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533324226,1,,false,,,,,,,,,,,,,,,,,lb,,
nintendo-switch-32gb-console-neon-red-neon-blue-joy-con,Nintendo - Switch 32GB Console - Neon Red/Neon Blue Joy-Con,,The Underground Games,console,,true,Title,Default Title,,,,,5670100,1588,shopify,1,deny,manual,299.99,,true,true,45496590093,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5670100_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533323800,1,,false,,,,,,,,,,,,,,,,,lb,,
far-cry-5-xbox-one,Far Cry 5 - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,5887136,91,shopify,1,deny,manual,19.99,59.99,true,true,887256028916,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5887136_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532946500,1,,false,,,,,,,,,,,,,,,,,lb,,
far-cry-5-playstation-4,Far Cry 5 - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,5887139,91,shopify,1,deny,manual,19.99,59.99,true,true,887256028824,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5887139_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532945452,1,,false,,,,,,,,,,,,,,,,,lb,,
mega-man-x-legacy-collection-1-2-playstation-4,Mega Man X Legacy Collection 1 + 2 - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,6241233,91,shopify,1,deny,manual,24.99,39.99,true,true,13388560561,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6241233_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533322072,1,,false,,,,,,,,,,,,,,,,,lb,,
the-last-of-us™-remastered-playstation®-hits-playstation-4,The Last of Us™ Remastered - PlayStation® Hits - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,5875178,91,shopify,1,deny,manual,19.99,,true,true,711719522911,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5875178_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532948300,1,,false,,,,,,,,,,,,,,,,,lb,,
mega-man-x-legacy-collection-1-2-xbox-one,Mega Man X Legacy Collection 1 + 2 - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,6241232,91,shopify,1,deny,manual,24.99,39.99,true,true,13388550395,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6241232_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533322149,1,,false,,,,,,,,,,,,,,,,,lb,,
go-vacation-nintendo-switch,Go Vacation - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,6258920,91,shopify,1,deny,manual,49.99,,true,true,45496593827,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6258920_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532946967,1,,false,,,,,,,,,,,,,,,,,lb,,
state-of-decay-2-xbox-one,State of Decay 2 - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,5322200,91,shopify,1,deny,manual,14.99,29.99,true,true,889842223583,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5322200_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532823489,1,,false,,,,,,,,,,,,,,,,,lb,,
diablo-iii-eternal-collection-playstation-4,Diablo III: Eternal Collection - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,6259335,91,shopify,1,deny,manual,19.99,39.99,true,true,47875882140,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6259335_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532945787,1,,false,,,,,,,,,,,,,,,,,lb,,
wolfenstein®-ii-the-new-colossus™-nintendo-switch,Wolfenstein® II: The New Colossus™ - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,6180719,91,shopify,1,deny,manual,59.99,,true,true,45496591823,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6180719_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532948192,1,,false,,,,,,,,,,,,,,,,,lb,,
captain-toad-treasure-tracker-nintendo-switch,Captain Toad: Treasure Tracker - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,6219550,91,shopify,1,deny,manual,39.99,,true,true,45496592967,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6219550_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532947109,1,,false,,,,,,,,,,,,,,,,,lb,,
destiny-2-playstation-4,Destiny 2 - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,5807901,91,shopify,1,deny,manual,9.99,19.99,true,true,47875880986,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5807901_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532823577,1,,false,,,,,,,,,,,,,,,,,lb,,
destiny-2-xbox-one,Destiny 2 - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,5807904,91,shopify,1,deny,manual,9.99,19.99,true,true,47875880986,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5807904_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532823572,1,,false,,,,,,,,,,,,,,,,,lb,,
crash-bandicoot-n-sane-trilogy-xbox-one,Crash Bandicoot N. Sane Trilogy - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,6219579,91,shopify,1,deny,manual,24.99,39.99,true,true,47875881969,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6219579_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533322559,1,,false,,,,,,,,,,,,,,,,,lb,,
crash-bandicoot-n-sane-trilogy-windows,Crash Bandicoot N. Sane Trilogy - Windows,,The Underground Games,game,,true,Title,Default Title,,,,,6219563,91,shopify,1,deny,manual,39.99,,true,true,47875335455,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6219563_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533322486,1,,false,,,,,,,,,,,,,,,,,lb,,
crash-bandicoot-n-sane-trilogy-playstation-4,Crash Bandicoot N. Sane Trilogy - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,5712319,91,shopify,1,deny,manual,39.99,,true,true,,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5712319_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533322328,1,,false,,,,,,,,,,,,,,,,,lb,,
crash-bandicoot-n-sane-trilogy-nintendo-switch,Crash Bandicoot N. Sane Trilogy - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,6219578,91,shopify,1,deny,manual,24.99,39.99,true,true,47875881990,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6219578_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533322240,1,,false,,,,,,,,,,,,,,,,,lb,,
just-dance-2018-playstation-4,Just Dance 2018 - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,5909703,91,shopify,1,deny,manual,39.99,59.99,true,true,887256028633,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5909703_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532823526,1,,false,,,,,,,,,,,,,,,,,lb,,
just-dance-2018-xbox-one,Just Dance 2018 - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,5909804,91,shopify,1,deny,manual,39.99,59.99,true,true,887256028664,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5909804_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532823530,1,,false,,,,,,,,,,,,,,,,,lb,,
just-dance-2018-nintendo-switch,Just Dance 2018 - Nintendo Switch,,The Underground Games,game,,true,Title,Default Title,,,,,5909704,91,shopify,1,deny,manual,39.99,59.99,true,true,887256028701,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5909704_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532823519,1,,false,,,,,,,,,,,,,,,,,lb,,
final-fantasy-xv-xbox-one,Final Fantasy XV - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,1693027,91,shopify,1,deny,manual,19.99,,true,true,662248917610,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/1693027_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532946939,1,,false,,,,,,,,,,,,,,,,,lb,,
call-of-duty-infinite-warfare-playstation-4,Call of Duty: Infinite Warfare - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,5214700,91,shopify,1,deny,manual,39.99,,true,true,47875878556,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5214700_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533231504,1,,false,,,,,,,,,,,,,,,,,lb,,
call-of-duty-infinite-warfare-xbox-one,Call of Duty: Infinite Warfare - Xbox One,,The Underground Games,game,,true,Title,Default Title,,,,,5214201,91,shopify,1,deny,manual,39.99,,true,true,47875878617,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5214201_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533231573,1,,false,,,,,,,,,,,,,,,,,lb,,
final-fantasy-xv-playstation-4,Final Fantasy XV - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,9497126,91,shopify,1,deny,manual,19.99,,true,true,662248917603,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/9497126_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532946834,1,,false,,,,,,,,,,,,,,,,,lb,,
plants-vs-zombies-garden-warfare-playstation-4,Plants vs Zombies Garden Warfare - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,6421008,91,shopify,1,deny,manual,19.99,,true,true,14633731781,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6421008_sa.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533231653,1,,false,,,,,,,,,,,,,,,,,lb,,
god-of-war-playstation-4,God of War - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,5358600,91,shopify,1,deny,manual,24.99,39.99,true,true,711719506133,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5358600_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1532823551,1,,false,,,,,,,,,,,,,,,,,lb,,
tales-of-bersaria-playstation-4,Tales of Bersaria - PlayStation 4,,The Underground Games,game,,true,Title,Default Title,,,,,5744907,91,shopify,1,deny,manual,59.99,,true,false,722674120708,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5744907_sd.jpg_maxHeight_640_maxWidth_550.jpg?v=1532702497,1,,false,,,,,,,,,,,,,,,,,lb,,
