Handle,Title,,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
pdp-nintendo-switch-starter-kit-gray,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5993300_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533630867,2,,,,,,,,,,,,,,,,,,,,,
nintendo-joy-con-wireless-wheel-set-of-2-for-nintendo-switch-black,Nintendo - Joy-Con Wireless Wheel (set of 2) for Nintendo Switch - Black,,The Underground Games,Switch Accessory,,true,Title,Default Title,,,,,5805312,227,shopify,1,deny,manual,13.99,,true,true,45496590413,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5805312_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533630570,1,,false,,,,,,,,,,,,,,,,,lb,,
nintendo-pro-wireless-controller-for-nintendo-switch,Nintendo - Pro Wireless Controller for Nintendo Switch,,The Underground Games,Switch Accessory,,true,Title,Default Title,,,,,5748618,363,shopify,1,deny,manual,63.99,69.99,true,true,45496590161,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5748618_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533630334,1,,false,,,,,,,,,,,,,,,,,lb,,
nintendo-switch™-dock-set,Nintendo - Switch™ Dock Set,,The Underground Games,Switch Accessory,,true,Title,Default Title,,,,,5854007,771,shopify,1,deny,manual,72.99,89.99,true,true,45496590499,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5854007_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533630065,1,,false,,,,,,,,,,,,,,,,,lb,,
sony-playstation®camera-for-playstation-4,Sony - PlayStation®Camera for PlayStation 4,,The Underground Games,PlayStation Accessory,,true,Title,Default Title,,,,,5622702,408,shopify,1,deny,manual,59.99,,true,true,711719504467,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5622702_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533629665,1,,false,,,,,,,,,,,,,,,,,lb,,
sony-playstation®-move-motion-wireless-controller-for-playstation®-4-and-playstation®-vr-2-pack-black-with-white-balls,Sony - PlayStation® Move Motion Wireless Controller for PlayStation® 4 and PlayStation® VR (2-Pack) - Black With White Balls,,The Underground Games,PlayStation Accessory,,true,Title,Default Title,,,,,6209601,431,shopify,1,deny,manual,99.99,,true,true,711719513438,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/1046724334.jpg?v=1533623057,1,,false,,,,,,,,,,,,,,,,,lb,,
sony-playstation®-move-motion-wireless-controller-for-playstation®-4-and-playstation®-vr-2-pack-black-with-white-balls,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/6209601_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533623058,2,,,,,,,,,,,,,,,,,,,,,
sony-dualshock-4-wireless-controller-for-sony-playstation-4-silver,Sony - DualShock 4 Wireless Controller for Sony PlayStation 4 - Silver,,The Underground Games,PlayStation Accessory,,true,Title,Default Title,,,,,5709480,363,shopify,1,deny,manual,39.99,64.99,true,true,711719504320,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5709480_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533622917,1,,false,,,,,,,,,,,,,,,,,lb,,
sony-dualshock-4-wireless-controller-for-sony-playstation-4-magma-red,Sony - DualShock 4 Wireless Controller for Sony PlayStation 4 - Magma (red),,The Underground Games,PlayStation Accessory,,true,Title,Default Title,,,,,5673600,363,shopify,1,deny,manual,39.99,64.99,true,true,711719504405,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5673600_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533622819,1,,false,,,,,,,,,,,,,,,,,lb,,
sony-dualshock-4-wireless-controller-for-playstation-4-jet-black,Sony - DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,The Underground Games,PlayStation Accessory,,true,Title,Default Title,,,,,5580915,363,shopify,1,deny,manual,39.99,59.99,true,true,400055809151,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5580915_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533622734,1,,false,,,,,,,,,,,,,,,,,lb,,
sony-dualshock-4-wireless-controller-for-sony-playstation-4-wave-blue,Sony - DualShock 4 Wireless Controller for Sony PlayStation 4 - Wave Blue,,The Underground Games,PlayStation Accessory,,true,Title,Default Title,,,,,5673500,363,shopify,1,deny,manual,39.99,64.99,true,true,711719504375,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5673500_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533622610,1,,false,,,,,,,,,,,,,,,,,lb,,
sony-dualshock-4-wireless-controller-for-sony-playstation-4-gold,Sony - DualShock 4 Wireless Controller for Sony PlayStation 4 - Gold,,The Underground Games,PlayStation Accessory,,true,Title,Default Title,,,,,5871323,363,shopify,1,deny,manual,39.99,64.99,true,true,711719505952,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5871323_sd.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533622423,1,,false,,,,,,,,,,,,,,,,,lb,,
microsoft-xbox-gaming-controller-with-cable-for-windows,Microsoft - Xbox Gaming Controller with Cable for Windows,,The Underground Games,Xbox Accessory,,true,Title,Default Title,,,,,5655430,499,shopify,1,deny,manual,59.99,,true,true,889842121964,https://cdn.shopify.com/s/files/1/0071/7733/8939/products/5655430cv11d.jpg_maxHeight_1000_maxWidth_1000.jpg?v=1533621449,1,,false,,,,,,,,,,,,,,,,,lb,,
